,matchcode,team,map
0,2327387,Vega Squadron,Nuke
1,2327387,NRG,Dust2
2,2327387,Vega Squadron,Train
3,2327387,NRG,Cache
4,2327900,Syman,Inferno
5,2327900,DreamEaters,Nuke
6,2327900,Syman,Dust2
7,2327900,DreamEaters,Cache
8,2327903,Tricked,Overpass
9,2327903,GoldenGitte,Cache
10,2327903,Tricked,Mirage
11,2327903,GoldenGitte,Dust2
12,2327814,Epsilon,Dust2
13,2327814,AGO,Nuke
14,2327814,Epsilon,Cache
15,2327814,AGO,Overpass
16,2327836,Brutality,Train
17,2327836,Slaughter Rage Army,Overpass
18,2327836,Brutality,Nuke
19,2327836,Slaughter Rage Army,Mirage
20,2327898,mCon,Overpass
21,2327898,Salty Skins,Nuke
22,2327898,mCon,Inferno
23,2327898,Salty Skins,Mirage
24,2327386,OpTic,Train
25,2327386,ENCE,Overpass
26,2327386,OpTic,Dust2
27,2327386,ENCE,Nuke
28,2327902,Jordan's Money Crew,Train
29,2327902,GoldenGitte,Cache
30,2327902,Jordan's Money Crew,Dust2
31,2327902,GoldenGitte,Nuke
32,2327813,ALTERNATE aTTaX,Cache
33,2327813,LDLC,Inferno
34,2327813,ALTERNATE aTTaX,Dust2
35,2327813,LDLC,Train
36,2327835,OpTic India,Mirage
37,2327835,2ez,Dust2
38,2327835,OpTic India,Train
39,2327835,2ez,Cache
40,2327812,ALTERNATE aTTaX,Cache
41,2327812,AGO,Nuke
42,2327812,ALTERNATE aTTaX,Dust2
43,2327812,AGO,Overpass
44,2327812,ALTERNATE aTTaX,Mirage
45,2327812,AGO,Inferno
46,2327811,Epsilon,Nuke
47,2327811,LDLC,Inferno
48,2327811,Epsilon,Dust2
49,2327811,LDLC,Cache
50,2327811,Epsilon,Train
51,2327811,LDLC,Mirage
52,2327901,Great Danes,Nuke
53,2327901,Tricked,Overpass
54,2327901,Great Danes,Cache
55,2327901,Tricked,Dust2
56,2327890,Jordan's Money Crew,Nuke
57,2327890,Ignite,Mirage
58,2327890,Jordan's Money Crew,Train
59,2327890,Ignite,Overpass
60,2327890,Jordan's Money Crew,Dust2
61,2327890,Ignite,Cache
62,2327385,North,Cache
63,2327385,NRG,Dust2
64,2327385,North,Mirage
65,2327385,NRG,Nuke
66,2327891,Great Danes,Nuke
67,2327891,Ambush,Mirage
68,2327891,Great Danes,Train
69,2327891,Ambush,Cache
70,2327891,Great Danes,Inferno
71,2327891,Ambush,Overpass
72,2327854,NTC fe,Train
73,2327854,OpTic Brasil,Dust2
74,2327889,Great Danes,Nuke
75,2327889,GoldenGitte,Mirage
76,2327889,Great Danes,Dust2
77,2327889,GoldenGitte,Train
78,2327889,Great Danes,Overpass
79,2327889,GoldenGitte,Cache
80,2327888,Jordan's Money Crew,Train
81,2327888,Tricked,Cache
82,2327888,Jordan's Money Crew,Nuke
83,2327888,Tricked,Overpass
84,2327888,Jordan's Money Crew,Dust2
85,2327888,Tricked,Inferno
86,2327734,Bpro,Nuke
87,2327734,HAVU,Inferno
88,2327734,Bpro,Cache
89,2327734,HAVU,Dust2
90,2327384,Fragsters,Mirage
91,2327384,Vega Squadron,Nuke
92,2327384,Fragsters,Overpass
93,2327384,Vega Squadron,Train
94,2327819,PACT,Dust2
95,2327819,Kinguin,Inferno
96,2327819,PACT,Mirage
97,2327819,Kinguin,Train
98,2327893,Windigo,Overpass
99,2327893,LDLC,Inferno
100,2327893,Windigo,Cache
101,2327897,ex-Quantum Bellator Fire,Mirage
102,2327897,tomorrow will be better,Cache
103,2327897,ex-Quantum Bellator Fire,Inferno
104,2327897,tomorrow will be better,Overpass
105,2327887,Ambush,Train
106,2327887,GoldenGitte,Nuke
107,2327887,Ambush,Mirage
108,2327887,GoldenGitte,Cache
109,2327887,Ambush,Dust2
110,2327887,GoldenGitte,Inferno
111,2327886,Ignite,Cache
112,2327886,Tricked,Nuke
113,2327886,Ignite,Mirage
114,2327886,Tricked,Dust2
115,2327886,Ignite,Inferno
116,2327886,Tricked,Overpass
117,2327383,BIG,Mirage
118,2327383,ENCE,Cache
119,2327383,BIG,Inferno
120,2327383,ENCE,Dust2
121,2327818,PACT,Dust2
122,2327818,AGO,Nuke
123,2327818,PACT,Cache
124,2327818,AGO,Mirage
125,2327817,Izako Boars,Nuke
126,2327817,Kinguin,Inferno
127,2327817,Izako Boars,Dust2
128,2327817,Kinguin,Mirage
129,2327382,Renegades,Nuke
130,2327382,OpTic,Cache
131,2327382,Renegades,Overpass
132,2327382,OpTic,Train
133,2327852,W7M,Cache
134,2327852,Wild,Overpass
135,2327846,EURONICS,Nuke
136,2327846,Ambush,Cache
137,2327846,EURONICS,Train
138,2327846,Ambush,Inferno
139,2327839,unknown,Mirage
140,2327839,GoldenGitte,Nuke
141,2327839,unknown,Overpass
142,2327839,GoldenGitte,Cache
143,2327845,Bpro,Nuke
144,2327845,PACT,Dust2
145,2327845,Bpro,Cache
146,2327845,PACT,Train
147,2327840,Tricked,Overpass
148,2327840,GoldenGitte,Cache
149,2327840,Tricked,Dust2
150,2327840,GoldenGitte,Inferno
151,2327825,Grayhound,Train
152,2327825,Grayhound,Dust2
153,2327825,Ground Zero,Overpass
154,2327825,Ground Zero,Mirage
155,2327825,Ground Zero,Inferno
156,2327825,Grayhound,Nuke
157,2327824,Tainted Minds,Train
158,2327824,Tainted Minds,Mirage
159,2327824,Breakaway,Cache
160,2327824,Breakaway,Nuke
161,2327824,Breakaway,Dust2
162,2327824,Tainted Minds,Overpass
163,2327823,Legacy,Inferno
164,2327823,Legacy,Dust2
165,2327823,Chiefs,Overpass
166,2327823,Chiefs,Cache
167,2327823,Chiefs,Train
168,2327823,Legacy,Mirage
169,2327551,Lucid Dream,Nuke
170,2327551,Signature,Dust2
171,2327319,TeamOne,Dust2
172,2327319,Mythic,Overpass
173,2327319,Mythic,Nuke
174,2327319,TeamOne,Inferno
175,2327804,Isurus,Cache
176,2327804,Vault,Dust2
177,2327804,Isurus,Overpass
178,2327804,Vault,Mirage
179,2327381,HellRaisers,Mirage
180,2327381,Vega Squadron,Dust2
181,2327381,HellRaisers,Nuke
182,2327381,Vega Squadron,Overpass
183,2327381,HellRaisers,Train
184,2327381,Vega Squadron,Cache
185,2327380,North,Mirage
186,2327380,Imperial,Dust2
187,2327380,North,Cache
188,2327380,Imperial,Inferno
189,2327380,North,Overpass
190,2327380,Imperial,Nuke
191,2327379,mousesports,Overpass
192,2327379,BIG,Mirage
193,2327379,mousesports,Cache
194,2327379,BIG,Nuke
195,2327379,mousesports,Dust2
196,2327379,BIG,Inferno
197,2327378,Vega Squadron,Nuke
198,2327378,Gambit,Mirage
199,2327378,Vega Squadron,Overpass
200,2327378,Gambit,Cache
201,2327378,Vega Squadron,Dust2
202,2327378,Gambit,Inferno
203,2327822,UltiCoin,Nuke
204,2327822,Tricked,Dust2
205,2327822,Tricked,Cache
206,2327822,UltiCoin,Mirage
207,2327822,Tricked,Overpass
208,2327377,BIG,Mirage
209,2327377,TYLOO,Nuke
210,2327377,BIG,Inferno
211,2327377,TYLOO,Train
212,2327377,BIG,Overpass
213,2327377,TYLOO,Dust2
214,2327821,GoldenGitte,Dust2
215,2327821,Vexed,Overpass
216,2327821,GoldenGitte,Cache
217,2327821,Vexed,Nuke
218,2327821,GoldenGitte,Inferno
219,2327821,Vexed,Train
220,2327376,HellRaisers,Nuke
221,2327376,CyberZen,Cache
222,2327376,HellRaisers,Inferno
223,2327376,CyberZen,Train
224,2327376,HellRaisers,Mirage
225,2327376,CyberZen,Dust2
226,2327374,Fragsters,Overpass
227,2327374,North,Cache
228,2327374,Fragsters,Mirage
229,2327374,North,Dust2
230,2327374,Fragsters,Train
231,2327374,North,Inferno
232,2327550,Lucid Dream,Nuke
233,2327550,BOOT-d[S],Cache
234,2327550,Lucid Dream,Inferno
235,2327550,BOOT-d[S],Dust2
236,2327373,Renegades,Train
237,2327373,Imperial,Dust2
238,2327373,Renegades,Overpass
239,2327373,Imperial,Inferno
240,2327373,Renegades,Nuke
241,2327373,Imperial,Mirage
242,2327549,FrostFire,Overpass
243,2327549,Lucid Dream,Nuke
244,2327549,FrostFire,Inferno
245,2327549,Lucid Dream,Dust2
246,2327802,C4,Train
247,2327802,Wild,Overpass
248,2327802,C4,Dust2
249,2327802,Wild,Mirage
250,2327801,Isurus,Cache
251,2327801,Imperial,Nuke
252,2327801,Isurus,Inferno
253,2327801,Imperial,Dust2
254,2327372,Gambit,Mirage
255,2327372,North,Cache
256,2327372,Gambit,Inferno
257,2327372,North,Overpass
258,2327372,Gambit,Dust2
259,2327372,North,Nuke
260,2327371,OpTic,Cache
261,2327371,Vega Squadron,Nuke
262,2327371,OpTic,Train
263,2327371,Vega Squadron,Overpass
264,2327371,OpTic,Mirage
265,2327371,Vega Squadron,Dust2
266,2327370,Imperial,Inferno
267,2327370,CyberZen,Cache
268,2327370,Imperial,Dust2
269,2327370,CyberZen,Nuke
270,2327370,Imperial,Overpass
271,2327370,CyberZen,Train
272,2327369,TYLOO,Dust2
273,2327369,Renegades,Overpass
274,2327369,TYLOO,Train
275,2327369,Renegades,Inferno
276,2327369,TYLOO,Nuke
277,2327369,Renegades,Cache
278,2327368,mousesports,Overpass
279,2327368,ENCE,Cache
280,2327368,mousesports,Train
281,2327368,ENCE,Nuke
282,2327368,mousesports,Inferno
283,2327368,ENCE,Dust2
284,2327739,Squared,Cache
285,2327739,UltiCoin,Overpass
286,2327739,Squared,Dust2
287,2327739,UltiCoin,Train
288,2327739,Squared,Nuke
289,2327739,UltiCoin,Mirage
290,2327367,Fragsters,Inferno
291,2327367,NRG,Train
292,2327367,Fragsters,Cache
293,2327367,NRG,Dust2
294,2327367,Fragsters,Overpass
295,2327367,NRG,Nuke
296,2327580,ex-AVANT,Nuke
297,2327580,MC,Overpass
298,2327580,ex-AVANT,Dust2
299,2327580,MC,Train
300,2327580,ex-AVANT,Mirage
301,2327580,MC,Cache
302,2327738,Vexed,Nuke
303,2327738,Tricked,Overpass
304,2327738,Vexed,Cache
305,2327738,Tricked,Dust2
306,2327738,Vexed,Train
307,2327738,Tricked,Inferno
308,2327578,SYF,Train
309,2327578,TRIDENT,Nuke
310,2327578,SYF,Inferno
311,2327578,TRIDENT,Overpass
312,2327578,SYF,Mirage
313,2327578,TRIDENT,Dust2
314,2327366,Sprout,Overpass
315,2327366,HellRaisers,Nuke
316,2327366,Sprout,Cache
317,2327366,HellRaisers,Mirage
318,2327366,Sprout,Dust2
319,2327366,HellRaisers,Train
320,2327579,MC,Train
321,2327579,ex-AVANT,Inferno
322,2327579,MC,Overpass
323,2327579,ex-AVANT,Nuke
324,2327579,MC,Dust2
325,2327579,ex-AVANT,Cache
326,2327577,TRIDENT,Dust2
327,2327577,SYF,Mirage
328,2327577,TRIDENT,Nuke
329,2327577,SYF,Cache
330,2327577,TRIDENT,Overpass
331,2327577,SYF,Inferno
332,2327365,BIG,Mirage
333,2327365,compLexity,Overpass
334,2327365,BIG,Inferno
335,2327365,compLexity,Train
336,2327365,BIG,Nuke
337,2327365,compLexity,Dust2
338,2327548,Beyond,Inferno
339,2327548,Lucid Dream,Nuke
340,2327548,Beyond,Cache
341,2327548,Lucid Dream,Train
