,matchcode,team,map
0,2327387,Vega Squadron,Mirage
1,2327387,NRG,Overpass
2,2327900,Syman,Overpass
3,2327900,DreamEaters,Mirage
4,2327903,Tricked,Inferno
5,2327903,Tricked,Nuke
6,2327814,Epsilon,Mirage
7,2327814,AGO,Train
8,2327836,Brutality,Cache
9,2327836,Slaughter Rage Army,Dust2
10,2327898,mCon,Train
11,2327898,Salty Skins,Cache
12,2327386,OpTic,Mirage
13,2327386,ENCE,Cache
14,2327902,Jordan's Money Crew,Overpass
15,2327902,GoldenGitte,Mirage
16,2327813,ALTERNATE aTTaX,Mirage
17,2327813,LDLC,Nuke
18,2327835,OpTic India,Nuke
19,2327835,2ez,Inferno
20,2327901,Great Danes,Mirage
21,2327901,Tricked,Train
22,2327385,North,Train
23,2327385,NRG,Overpass
24,2327854,NTC fe,Cache
25,2327854,OpTic Brasil,Inferno
26,2327854,NTC fe,Mirage
27,2327854,OpTic Brasil,Overpass
28,2327734,Bpro,Overpass
29,2327734,HAVU,Train
30,2327384,Fragsters,Dust2
31,2327384,Vega Squadron,Cache
32,2327819,PACT,Overpass
33,2327819,Kinguin,Cache
34,2327893,Windigo,Train
35,2327893,LDLC,Nuke
36,2327893,LDLC,Dust2
37,2327897,ex-Quantum Bellator Fire,Nuke
38,2327897,tomorrow will be better,Train
39,2327383,BIG,Overpass
40,2327383,ENCE,Nuke
41,2327818,PACT,Overpass
42,2327818,AGO,Inferno
43,2327817,Izako Boars,Overpass
44,2327817,Kinguin,Cache
45,2327382,Renegades,Dust2
46,2327382,OpTic,Inferno
47,2327852,W7M,Train
48,2327852,Wild,Dust2
49,2327852,W7M,Mirage
50,2327852,Wild,Nuke
51,2327846,EURONICS,Dust2
52,2327846,Ambush,Overpass
53,2327839,unknown,Dust2
54,2327839,GoldenGitte,Train
55,2327845,Bpro,Overpass
56,2327845,PACT,Inferno
57,2327840,Tricked,Nuke
58,2327840,GoldenGitte,Train
59,2327825,Grayhound,Cache
60,2327824,Tainted Minds,Inferno
61,2327823,Legacy,Nuke
62,2327551,Lucid Dream,Overpass
63,2327551,Signature,Inferno
64,2327551,Lucid Dream,Cache
65,2327551,Signature,Train
66,2327319,TeamOne,Train
67,2327319,Mythic,Cache
68,2327804,Isurus,Nuke
69,2327804,Vault,Train
70,2327550,Lucid Dream,Overpass
71,2327550,BOOT-d[S],Train
72,2327549,FrostFire,Train
73,2327549,Lucid Dream,Cache
74,2327802,C4,Cache
75,2327802,Wild,Nuke
76,2327801,Isurus,Overpass
77,2327801,Imperial,Train
78,2327548,Beyond,Mirage
79,2327548,Lucid Dream,Overpass
80,2327547,Recca,Mirage
81,2327547,FrostFire,Nuke
82,2327546,Signature,Mirage
83,2327546,BOOT-d[S],Train
84,2327419,Grizzlys,Overpass
85,2327419,Infamous,Inferno
86,2327730,ArenaBulls,Inferno
87,2327730,Sharks,Cache
88,2327732,attackiereN,Mirage
89,2327732,HAVU,Train
90,2327731,Endpoint,Dust2
91,2327731,Izako Boars,Overpass
92,2327558,BOOT-d[S],Mirage
93,2327558,MVP PK,Nuke
94,2327544,TNC,Overpass
95,2327544,Beyond,Dust2
96,2327543,Recca,Mirage
97,2327543,XCN,Nuke
98,2327545,FrostFire,Inferno
