,matchcode,map,team1,team2,score1,score2,event,stars,date
0,2327387,Mirage,Vega Squadron,NRG,14,16,StarSeries i-League Season 6,1,2018-10-13
1,2327387,Overpass,Vega Squadron,NRG,16,7,StarSeries i-League Season 6,1,2018-10-13
2,2327387,Inferno,Vega Squadron,NRG,16,12,StarSeries i-League Season 6,1,2018-10-13
3,2327900,Overpass,DreamEaters,Syman,16,13,MyTime League,0,2018-10-13
4,2327900,Mirage,DreamEaters,Syman,15,19,MyTime League,0,2018-10-13
5,2327900,Train,DreamEaters,Syman,16,10,MyTime League,0,2018-10-13
6,2327903,Inferno,Tricked,GoldenGitte,5,16,NetParty Fyn 2018,0,2018-10-13
7,2327903,Nuke,Tricked,GoldenGitte,5,16,NetParty Fyn 2018,0,2018-10-13
8,2327814,Mirage,Epsilon,AGO,17,19,ESL Pro European Championship,0,2018-10-13
9,2327814,Train,Epsilon,AGO,4,16,ESL Pro European Championship,0,2018-10-13
10,2327836,Cache,Brutality,Slaughter Rage Army,7,16,ESL India Premiership 2018 Fall Finals,0,2018-10-13
11,2327836,Dust2,Brutality,Slaughter Rage Army,17,19,ESL India Premiership 2018 Fall Finals,0,2018-10-13
12,2327898,Train,mCon,Salty Skins,16,10,GameForce Masters,0,2018-10-13
13,2327898,Cache,mCon,Salty Skins,9,16,GameForce Masters,0,2018-10-13
14,2327898,Dust2,mCon,Salty Skins,14,16,GameForce Masters,0,2018-10-13
15,2327386,Mirage,OpTic,ENCE,10,16,StarSeries i-League Season 6,1,2018-10-13
16,2327386,Cache,OpTic,ENCE,7,16,StarSeries i-League Season 6,1,2018-10-13
17,2327902,Overpass,GoldenGitte,Jordan's Money Crew,16,5,NetParty Fyn 2018,0,2018-10-13
18,2327902,Mirage,GoldenGitte,Jordan's Money Crew,8,16,NetParty Fyn 2018,0,2018-10-13
19,2327902,Inferno,GoldenGitte,Jordan's Money Crew,16,9,NetParty Fyn 2018,0,2018-10-13
20,2327813,Mirage,LDLC,ALTERNATE aTTaX,16,8,ESL Pro European Championship,0,2018-10-13
21,2327813,Nuke,LDLC,ALTERNATE aTTaX,16,8,ESL Pro European Championship,0,2018-10-13
22,2327835,Nuke,OpTic India,2ez,16,7,ESL India Premiership 2018 Fall Finals,0,2018-10-13
23,2327835,Inferno,OpTic India,2ez,16,6,ESL India Premiership 2018 Fall Finals,0,2018-10-13
24,2327812,Train,AGO,ALTERNATE aTTaX,16,12,ESL Pro European Championship,0,2018-10-13
25,2327811,Overpass,LDLC,Epsilon,14,16,ESL Pro European Championship,0,2018-10-13
26,2327901,Mirage,Tricked,Great Danes,16,10,NetParty Fyn 2018,0,2018-10-13
27,2327901,Train,Tricked,Great Danes,16,6,NetParty Fyn 2018,0,2018-10-13
28,2327890,Inferno,Ignite,Jordan's Money Crew,16,19,NetParty Fyn 2018,0,2018-10-12
29,2327385,Train,NRG,North,16,14,StarSeries i-League Season 6,3,2018-10-12
30,2327385,Overpass,NRG,North,16,13,StarSeries i-League Season 6,3,2018-10-12
31,2327891,Dust2,Ambush,Great Danes,13,16,NetParty Fyn 2018,0,2018-10-12
32,2327854,Cache,OpTic Brasil,NTC fe,16,9,Brasil Game Cup 2018 Female Finals,0,2018-10-12
33,2327854,Inferno,OpTic Brasil,NTC fe,16,6,Brasil Game Cup 2018 Female Finals,0,2018-10-12
34,2327854,Mirage,OpTic Brasil,NTC fe,16,4,Brasil Game Cup 2018 Female Finals,0,2018-10-12
