,matchcode,team,map,priority
0,2318047,AGO,Nuke,1
1,2318047,PRIDE,Inferno,2
2,2318047,AGO,Cache,5
3,2318047,PRIDE,Cobblestone,6
4,2317972,LDLC,Train,1
5,2317972,AGO,Nuke,2
6,2317972,LDLC,Overpass,5
7,2317972,AGO,Cache,6
8,2317971,PRIDE,Inferno,1
9,2317971,Sprout,Nuke,2
10,2317971,PRIDE,Cobblestone,5
11,2317971,Sprout,Train,6
12,2317788,PRIDE,Mirage,1
13,2317788,Windigo,Inferno,2
14,2317788,PRIDE,Nuke,3
15,2317788,Windigo,Cobblestone,4
16,2317788,PRIDE,Overpass,5
17,2317788,Windigo,Cache,6
18,2317787,Windigo,Nuke,1
19,2317787,Squared,Mirage,2
20,2317787,Windigo,Cache,3
21,2317787,Squared,Overpass,4
22,2317787,Windigo,Inferno,5
23,2317787,Squared,Cobblestone,6
24,2317783,PRIDE,Cache,1
25,2317783,Squared,Overpass,2
26,2317783,PRIDE,Cobblestone,3
27,2317783,Squared,Nuke,4
28,2317783,PRIDE,Inferno,5
29,2317783,Squared,Mirage,6
30,2317782,Kinguin,Train,1
31,2317782,Windigo,Cache,2
32,2317782,Kinguin,Overpass,3
33,2317782,Windigo,Nuke,4
34,2317782,Kinguin,Inferno,5
35,2317782,Windigo,Mirage,6
36,2317607,Windigo,Nuke,1
37,2317607,PRIDE,Inferno,2
38,2317607,Windigo,Cache,3
39,2317607,PRIDE,Cobblestone,4
40,2317607,Windigo,Overpass,5
41,2317607,PRIDE,Train,6
42,2317606,Squared,Mirage,1
43,2317606,Kinguin,Train,2
44,2317606,Squared,Overpass,3
45,2317606,Kinguin,Cache,4
46,2317606,Squared,Cobblestone,5
47,2317606,Kinguin,Inferno,6
48,2317758,AGO,Cache,1
49,2317758,Valiance,Overpass,2
50,2317758,AGO,Inferno,3
51,2317758,Valiance,Cobblestone,4
52,2317758,AGO,Nuke,5
53,2317758,Valiance,Train,6
54,2317756,EnVyUs Academy,Mirage,1
55,2317756,Valiance,Overpass,2
56,2317756,EnVyUs Academy,Cache,3
57,2317756,Valiance,Cobblestone,4
58,2317756,EnVyUs Academy,Inferno,5
59,2317756,Valiance,Train,6
60,2317752,EnVyUs Academy,Train,1
61,2317752,AGO,Nuke,2
62,2317752,EnVyUs Academy,Overpass,3
63,2317752,AGO,Cache,4
64,2317752,EnVyUs Academy,Mirage,5
65,2317752,AGO,Inferno,6
66,2317751,Valiance,Cache,1
67,2317751,GoodJob,Train,2
68,2317751,Valiance,Overpass,3
69,2317751,GoodJob,Nuke,4
70,2317751,Valiance,Cobblestone,5
71,2317751,GoodJob,Mirage,6
72,2317718,GoodJob,Train,1
73,2317718,EnVyUs Academy,Cache,2
74,2317718,GoodJob,Nuke,3
75,2317718,EnVyUs Academy,Mirage,4
76,2317718,GoodJob,Overpass,5
77,2317718,EnVyUs Academy,Cobblestone,6
78,2317605,Valiance,Overpass,1
79,2317605,AGO,Nuke,2
80,2317605,Valiance,Cobblestone,3
81,2317605,AGO,Cache,4
82,2317605,Valiance,Train,5
83,2317605,AGO,Mirage,6
84,2317409,EnVyUs Academy,Mirage,1
85,2317409,EPG,Inferno,2
86,2317409,EnVyUs Academy,Train,3
87,2317409,EPG,Cobblestone,4
88,2317409,EnVyUs Academy,Cache,5
89,2317409,EPG,Overpass,6
90,2317408,Spirit,Mirage,1
91,2317408,EPG,Overpass,2
92,2317408,Spirit,Train,3
93,2317408,EPG,Cache,4
94,2317408,Spirit,Inferno,5
95,2317408,EPG,Cobblestone,6
96,2317407,Spirit,Cache,1
