,event,code,prizepool,date,location,nteams
0,nordic-championship-season-1-denmark-qualifier,2915,2 spots at Nordic Championship S2,Jun 11th 2017,Online,4
1,nordic-championship-season-1-norway-qualifier,2914,2 spots at Nordic Championship S2,Jun 11th 2017,Online,4
2,nordic-championship-season-1-sweden-qualifier,2913,2 spots at Nordic Championship S2,Jun 11th 2017,Online,4
3,esl-southeast-europe-championship-season-5-bulgaria-wild-card,2911,1 spot at ESL SEEC S5 Finals,Jun 11th 2017,Online,4
4,wca-2017-italy-qualifier,2910,EU Qualifier + Main Tournament Wild Card,Jun 11th 2017,Online,4
5,yoggi-yalla-cup-2017,2757,"$5,707",Jun 10th,,8
6,infinite-challenge-cup-weekly-3,2898,"$1,449",Jun 9th,Online (Asia),4
7,cis-minor-pgl-major-krakow-2017,2724,"$50,000",Jun 8th,"Moscow, Russia",8
8,americas-minor-pgl-major-krakow-2017,2722,"$50,000",Jun 8th,"Santa Ana, California, USA",8
9,cevo-main-season-12-north-america,2841,"$10,000",May 1st,Online,16
10,esl-one-cologne-2017-china-closed-qualifier,2860,1 spot at ESL One Cologne,Jun 7th,Online,16
11,farmskins-championship-1,2872,"$25,000",May 25th,Online,10
12,ecs-season-3-north-america,2729,4 spots at ECS S3 Finals,Apr 14th,Online,10
13,ecs-season-3-europe,2728,4 spots at ECS S3 Finals,Apr 14th,Online,10
14,cevo-main-season-12-europe,2842,"$10,000",May 1st,Online,16
15,headshot-cup-2,2886,"$2,500",May 29th,Online,8
16,esl-southeast-europe-championship-season-5,2843,3 spots for ESL SEEC S5 Finals,May 4th,Online,16
17,global-offensive-champions-league-season-6,2883,"$5,000",May 25th,Online,8
18,binary-dragons-csgopolygon-cup-6,2835,"$5,000",Apr 26th,Online,16
19,infinite-challenge-cup-weekly-2,2891,"$1,449",Jun 2nd,,4
20,asia-minor-pgl-major-krakow-2017,2725,"$50,000",Jun 1st,"Beijing, China",8
21,esl-pro-league-season-5-finals,2557,"$750,000",May 30th,"Dallas, Texas, USA",12
22,csadria-championship-season-1-finals,2881,$500,Jun 3rd 2017,"Zagreb, Croatia",4
23,legend-series-2,2888,4 spots for the LAN Finals,May 30th,Online,16
24,yoggi-yalla-cup-2017-qualifier-8,2887,"$1,395",May 29th 2017,Online,4+
25,liga-pro-alienware-gamersclub-may-17,2877,"$2,300",May 23rd,Online,8
26,csgo-super-league-2017-spring-season-finals,2873,2 spots for the CSL Finals,May 27th,"Beijing, China",4
27,geforce-cup-2017,2777,"$30,000",May 27th,"Wroclaw, Poland",8
28,infinite-challenge-cup-weekly-1,2882,"$1,449",May 26th,Online (Asia),4
29,birdielan-27,2885,"$10,155",May 27th 2017,Uppsala,4
30,the-adria-masters-season-1-finals,2834,"$5,000",May 27th 2017,"Belgrade, Serbia",4
31,streamme-gauntlet-cis-vs-eu-6,2874,"$1,500",May 23rd,Online (EU & CIS),8
32,dust2dk-eoddset-masters-10,2878,"$1,500",May 23rd,Online,8
33,esl-one-cologne-2017-china-open-qualifier,2861,8 spots at the Closed Qualifier,May 23rd,Online,16+
34,farmskins-championship-1-closed-qualifier,2871,TBA,May 23rd,Online,8
35,hellcase-cup-4,2813,"$10,000",May 1st,Online,8
36,yoggi-yalla-cup-2017-qualifier-7,2875,"$1,395",May 22nd 2017,Online,4
37,dreamhack-open-summer-2017-europe-closed-qualifier,2863,TBA,May 21st 2017,Online,8
38,gamerz-season-1-nordic-edition,2870,Professional contracts,May 21st 2017,Sweden,2
39,msi-goexanimo-2,2869,$784,May 21st 2017,"Riga, Latvia",4
40,dreamhack-open-summer-2017-north-america-closed-qualifier,2865,1 spot at DH Open Summer,May 21st 2017,,8
41,esl-one-cologne-2017-europe-closed-qualifier,2792,TBA,May 20th,Online,12
42,esl-australia-nz-championship-season-3-finals,2802,"$7,415",May 20th,"Sydney, Australia",4
43,dreamhack-open-summer-2017-north-america-open-qualifier,2864,TBA,May 20th 2017,,
44,esl-one-cologne-2017-north-america-closed-qualifier,2795,TBA,May 20th 2017,,6
45,dreamhack-open-summer-2017-europe-open-qualifier,2862,TBA,May 20th 2017,Online,16
46,playing-ducks-homemasters-2,2774,"$3,292",May 20th 2017,Peine,2
47,telenor-league-spring-2017,2868,TBA,May 20th 2017,Online,2
48,varlelt-lithuanian-esports-league-2017-finals,2858,"$3,313",May 20th 2017,"Vilnius, Lithuania",4
49,csgo-super-league-2017-spring-season,2815,4 spots for the LAN Finals,Apr 20th,Online,16
50,europe-minor-closed-qualifier-pgl-major-krakow-2017,2822,8 spots at EU Minor,May 18th,Online (EU),16
51,cis-minor-closed-qualifier-pgl-major-krakow-2017,2849,TBA,May 16th,Online,16
52,the-adria-masters-season-1,2833,TBA,Apr 27th,Online,16
53,cougar-csgo-tournament-lan-final,2859,"$4,479",May 18th 2017,"Ballerup, Denmark",2
54,esl-pro-league-season-5-north-america-relegation,2797,TBA,May 16th,,4
55,esl-pro-league-season-5-europe-relegation,2796,TBA,May 16th,,4
56,geforce-cup-2017-closed-qualifier,2778,TBA,May 10th,Online,8
57,europe-minor-qualifier-4-pgl-major-krakow-2017,2821,TBA,May 15th,Online,16
58,streamme-gauntlet-cis-vs-eu-5,2851,"$1,500",May 9th,Online (EU & CIS),8
59,beyondgodlike-csgo-sea-pro-league,2699,"$11,250",Mar 10th,South-East Asia,10
60,cis-minor-qualifier-pgl-major-krakow-2017,2848,TBA,May 14th 2017,Online,8
61,subaru-invitational-2017,2844,"$20,000",May 13th,,8
62,americas-minor-north-america-closed-qualifier-pgl-major-krakow-2017,2828,TBA,May 13th,,16
63,htc-2v2-invitational-by-pgl,2801,"$50,000",May 13th,"Bucharest, Romania",8
64,esea-season-24-mdl-global-challenge,2749,"$50,000",May 13th,"Leicester, United Kingdom",8
65,yoggi-yalla-cup-2017-inferno-online-qualifier,2857,"$1,400",May 13th,"Stockholm, Sweden",4
66,asia-minor-china-qualifier-pgl-major-krakow-2017,2850,TBA,May 12th,Online,20
67,99damage-league-season-5,2852,"$10,930",May 11th,Online,4
68,esl-pro-league-season-5-north-america,2639,"$125,000",Feb 7th,Online,14
69,esl-pro-league-season-5-europe,2638,"$125,000",Feb 7th,Online,14
70,underdogs-5,2840,"$2,750",May 1st 2017,Online,8
71,europe-minor-qualifier-3-pgl-major-krakow-2017,2820,TBA,May 9th,Online,16
72,playing-ducks-homemasters-2-qualifier,2837,TBA,Apr 30th,Online,3
73,wca-2017-china-qualifier-1,2766,TBA,Apr 10th,,
74,dreamhack-open-tours-2017,2568,"$100,000",May 6th,"Tours, France",8
75,lootbet-cup-1,2780,"$2,000",Apr 10th,Online,8
76,pc-coolers-league-season-1-finals,2845,"$1,093",May 6th,"Bucharest, Romania",4
77,4gamers-csgo-masters,2807,"$10,997",May 6th,"Lisbon, Portugal",6
78,esports-arena-showdown-championship,2679,"$20,000",May 5th,"Santa Ana, California, USA",8
79,americas-minor-north-america-qualifier-pgl-major-krakow-2017,2827,8 spots at the Closed Qualifier,May 5th,,16
80,mettlestate-galaxy-csgo-championship-2017,2705,"$76,365",May 5th,"Johannesburg, South Africa",8
81,iem-sydney-2017,2713,"$200,000",May 3rd,"Sydney, Australia",8
82,esl-meisterschaft-spring-2017-finals,2772,"$16,390",May 6th 2017,Duisburg,4
83,europe-minor-qualifier-2-pgl-major-krakow-2017,2819,TBA,May 4th,Online,16
84,liga-pro-alienware-gamersclub-apr-17,2831,"$2,300",Apr 25th,Online,8
85,betscsgo-cup-1,2809,"$5,000",Apr 19th,Online,4
86,esl-major-league-spring-2017,2779,"$4,000",Apr 18th 2017,Online,8
87,esl-one-cologne-2017-north-america-qualifier-2,2794,TBA,Apr 29th,Online,8
88,tiger-masters-season-3-qualification-1,2839,$815,Apr 29th,"Prague, Czech Republic",4
89,esl-polish-championship-spring-2017-finals,2798,"$17,478",Apr 29th,"Katowice, Poland",4
90,asia-minor-oceania-qualifier-pgl-major-krakow-2017,2788,TBA,Apr 28th,,8
91,dreamhack-open-austin-2017,2567,"$100,000",Apr 28th,"Austin, Texas, USA",8
92,esl-one-cologne-2017-europe-qualifier-2,2791,TBA,Apr 29th 2017,Online,16
93,europe-minor-qualifier-1-pgl-major-krakow-2017,2818,TBA,Apr 28th,Online,16
94,americas-minor-south-america-qualifier-pgl-major-krakow-2017,2826,TBA,Apr 27th,Online,8
95,asia-minor-sea-and-india-qualifier-pgl-major-krakow-2017,2787,TBA,Apr 24th,Online,8
96,douyu-csgo-asia-invitational,2825,"$4,067",Apr 24th,Online,8
97,hellcase-cup-4-closed-qualifier,2812,TBA,Apr 25th,Online,8
98,over-the-limits-cup-1,2816,"$2,000",Apr 23rd,Online,8
99,rename1,2838,TBA,Nov 30th 1999,Online,
100,esea-main-season-24-europe,2782,"$8,500",Apr 9th 2017,Online,16
101,yoggi-yalla-cup-2017-qualifier-5,2829,"$1,395",Apr 24th 2017,Online,4
102,china-internet-gaming-2016-lan-final,2817,"$46,481",Apr 21st,"Hefei, China",8
103,dust2dk-eoddset-masters-9-finals,2824,TBA,Apr 23rd 2017,Århus,2
104,esl-one-cologne-2017-north-america-qualifier-1,2793,TBA,Apr 22nd,,8
105,minho-electronic-esports-cup,2823,"$2,145",Apr 22nd,Braga,8
106,esl-one-cologne-2017-europe-qualifier-1,2790,TBA,Apr 22nd,Online,16
107,asia-minor-middle-east-qualifier-pgl-major-krakow-2017,2785,TBA,Apr 22nd,Middle East,8
108,asia-minor-east-asia-qualifier-pgl-major-krakow-2017,2786,TBA,Apr 21st,East-Asia,16
109,china-internet-gaming-2016-finals,2811,$46470,Apr 21st,"Hefei, China",8
110,cs-summit-spring-2017,2641,"$150,000",Apr 20th,"Los Angeles, California",8
111,esea-open-season-24-latin-america,2773,"$1,600",Apr 19th,Online,4
112,dust2dk-eoddset-masters-9-iwdk-edition,2810,"$3,600",Apr 19th,Online,8
113,esea-main-season-24-north-america,2789,"$9,000",Apr 12th,Online,8
114,esea-open-season-24-south-africa,2751,"$2,000",Apr 11th,Online,8
115,infoshow-lan-party-2017,2808,"$2,140",Apr 22nd 2017,Kaunas,4
116,streamme-gauntlet-cis-vs-eu-4,2814,"$1,500",Apr 20th,Online (EU & CIS),8
117,5k-maximum-level-season-1,2805,$250,Apr 18th,Latin America,4
118,sltv-proseries-xvii,2803,"$2,000",Apr 14th,Online,6
119,esea-open-season-24-asia-pacific,2752,"$2,000",Apr 7th,,8
120,zen-esports-network-league-season-1,2553,"~$37,800",Mar 4th,Asia-Pacific,8
121,yoggi-yalla-cup-2017-qualifier-4,2806,"$1,395",Apr 17th 2017,Online,4
122,esea-mdl-season-24-europe,2672,"$2,500",Feb 5th,,24
123,ttu-e-sport-spring-2017,2804,"$2,120",Apr 15th,Tallinn,4
124,german-clash-season-1-finals,2799,"$4,243",Apr 15th,Online,4
125,copenhagen-games-2017,2753,"$56,300",Apr 14th,"Copenhagen, Denmark",16
126,copenhagen-games-2017-female,2663,"$15,025",Apr 13th,"Copenhagen, Denmark",28
127,uk-masters-spring-2017-finals,2759,"$8,800",Apr 14th 2017,"Birmingham, England",2
128,copenhagen-games-2017-byoc-qualifier,2675,8 spots for the Main tournament,Apr 13th,"Copenhagen, Denmark",76
129,headshot-cup-1,2781,"$2,500",Apr 8th,Online,8
130,esl-australia-nz-championship-season-3,2674,TBA,Feb 26th,Australia,8
131,danish-championship-2017,2800,"$21,400",Apr 12th 2017,"Copenhagen, Denmark",6
132,esea-mdl-season-24-australia,2748,"$5,000",Apr 4th,,8
133,esea-open-season-24-brazil,2750,"$2,475",Apr 6th,,8
134,yoggi-yalla-cup-2017-qualifier-3,2784,"$1,395",Apr 10th 2017,Online,4
135,cybergamer-intermediate-season-10-finals,2775,"$1,970",Apr 9th,,4
136,brasil-game-cup-rio-2017,2783,"$8,000",Apr 9th 2017,Rio de Janeiro,2
137,streamme-gauntlet-cis-vs-eu-3,2767,"$1,500",Apr 5th,Online (EU & CIS),8
138,sl-i-league-starseries-season-3-finals,2683,"$300,000",Apr 4th,"Kiev, Ukraine",16
139,esea-mdl-season-24-north-america,2673,"$2,500",Jan 31st,,24
140,acer-cybergamer-premier-league-autumn-2017-finals,2765,"$7,665",Apr 8th 2017,Adelaide,4
141,arab-gaming-championship-2017-winter-open,2768,"$8,165",Apr 5th,,8
142,israel-gamein-championship,2776,"$2,737",Apr 6th 2017,"Tel Aviv, Israel",4
143,dust2dk-eoddset-masters-8,2771,"$1,435",Apr 4th,Online,8
144,operation-kinguin-4,2769,"$5,000",Apr 3rd,Online,8
145,liga-pro-alienware-gamersclub-mar-17,2760,"$1,600",Mar 28th,Online,8
146,yoggi-yalla-cup-2017-qualifier-2,2770,"$1,395",Apr 3rd 2017,Online,4
147,european-master-series-1,2700,"$3,000",Apr 1st,Online,8
148,binary-dragons-csgopolygon-season-1,2732,"$20,000",Mar 27th,,16
149,hellcase-cup-3,2731,"$10,000",Mar 25th,Online,8
150,dreamhack-open-tours-2017-north-america-closed-qualifier,2746,TBA,Apr 2nd 2017,Online,8
151,dreamhack-open-tours-2017-europe-closed-qualifier,2744,TBA,Apr 2nd 2017,Online,8
152,ibuypower-invitational-spring-2017,2761,"$16,000",Apr 1st,,8
153,uk-masters-spring-2017,2758,"$3,017",Apr 1st,Online,4
154,serbian-first-league-s2-lan-finals,2739,"$1,291",Apr 1st,Belgrade,4
155,mega8-autumn-cup-2017,2762,"$3,847",Mar 31st,Online,8
156,esports-arena-showdown-v,2681,"$3,200",Apr 1st 2017,Santa Ana,4
157,dreamhack-open-tours-2017-north-america-open-qualifier,2745,TBA,Apr 1st 2017,Online,16
158,dreamhack-open-tours-2017-europe-open-qualifier,2743,TBA,Apr 1st 2017,Online,16
159,legend-series-1-finals,2742,"$2,917",Apr 1st 2017,"Siek, Germany",2
160,rog-cool-league-season-1-finals,2764,"$1,793",Apr 1st 2017,"Prague, Czech Republic",2
161,iem-sydney-2017-china-and-mongolia-qualifier,2747,TBA,Mar 25th,,16
162,yoggi-yalla-cup-2017-qualifier-1,2756,"$1,395",Mar 27th 2017,Online,4
163,ecs-season-3-eu-promotion,2726,TBA,Mar 26th,,4
164,dreamhack-open-austin-2017-north-america-closed-qualifier,2738,TBA,Mar 26th 2017,Online,8
165,dreamhack-open-austin-2017-europe-closed-qualifier,2736,TBA,Mar 26th 2017,Online,8
166,iem-sydney-2017-anz-open-qualifier,2754,TBA,Mar 25th,,4
167,fpsthailand-x-steelseries-pro-league-season-1,2740,"$5,200",Mar 25th,,4
168,ecs-season-3-na-promotion,2727,TBA,Mar 25th,,2
169,dreamhack-open-austin-2017-north-america-open-qualifier,2737,TBA,Mar 25th 2017,Online,16
170,dreamhack-open-austin-2017-europe-open-qualifier,2735,TBA,Mar 25th 2017,Online,16
171,hellcase-cup-3-closed-qualifier,2730,TBA,Mar 22nd,,8
172,legend-series-1,2741,"$1,404",Mar 22nd,Online,12
173,acer-cybergamer-premier-league-autumn-2017,2658,TBA,Feb 3rd,Australia,8
174,binary-dragons-cup-5,2733,"$2,200",Mar 19th,,16
175,sl-i-league-season-3-europe-qualifier,2687,TBA,Feb 10th,Online,24
176,sl-i-league-season-3-north-america-qualifier,2688,TBA,Feb 13th,Online,24
177,sp-gaming-tournament-2,2714,$500,Mar 15th,Online,4
178,log-cup-2-2017,2708,"$2,000",Mar 6th,Online,8
179,china-cup-2017,2160,"$99,000",Mar 17th,"Chengde, China",6
