,Unnamed: 0,matchcode,team,map,priority
0,0,2318047,AGO,Overpass,3
1,1,2318047,PRIDE,Mirage,4
2,2,2317972,LDLC,Inferno,3
3,3,2317972,AGO,Mirage,4
4,4,2317971,PRIDE,Mirage,3
5,5,2317971,Sprout,Overpass,4
6,6,2317926,FaZe,Inferno,3
7,7,2317926,SK,Overpass,4
8,8,2317926,FaZe,Mirage,5
9,9,2317926,SK,Train,6
10,10,2317925,Misfits,Cobblestone,3
11,11,2317925,SK,Overpass,4
12,12,2317924,fnatic,Mirage,3
13,13,2317924,FaZe,Overpass,4
14,14,2317923,Misfits,Cobblestone,3
15,15,2317923,HellRaisers,Overpass,4
16,16,2317922,fnatic,Inferno,3
17,17,2317922,OpTic,Train,4
18,18,2317985,AVANGAR,Mirage,3
19,19,2317985,pro100,Inferno,4
20,20,2317927,pro100,Inferno,3
21,21,2317927,Nemiga,Overpass,4
22,22,2317832,NOVA,Mirage,3
23,23,2317832,EPG,Cache,4
24,24,2317890,CIS.PRO,Inferno,3
25,25,2317890,Nemiga,Overpass,4
26,26,2317831,eL'quvet,Mirage,3
27,27,2317831,AVANGAR,Inferno,4
28,28,2317830,Quantum Bellator Fire,Inferno,3
29,29,2317830,pro100,Overpass,4
30,30,2317984,Seed,Cobblestone,3
31,31,2317984,pro100,Mirage,4
32,32,2317983,GoodJob,Mirage,3
33,33,2317983,Seed,Overpass,4
34,34,2317982,GoodJob,Cache,3
35,35,2317982,spray'n'pray,Mirage,4
36,36,2317981,pro100,Mirage,3
37,37,2317981,Seed,Overpass,4
38,38,2317898,GoodJob,Cache,3
39,39,2317898,Seed,Overpass,4
40,40,2317897,pro100,Cobblestone,3
41,41,2317897,spray'n'pray,Mirage,4
42,42,2317843,Gambit,Overpass,3
43,43,2317843,TYLOO,Inferno,4
44,44,2317843,Gambit,Train,5
45,45,2317843,TYLOO,Cache,6
46,46,2317841,Gambit,Overpass,3
47,47,2317841,Vega Squadron,Mirage,4
48,48,2317842,Grayhound,Overpass,3
49,49,2317842,TYLOO,Cobblestone,4
50,50,2317840,Splyce,Train,3
51,51,2317840,TYLOO,Cobblestone,4
52,52,2317839,Vega Squadron,Overpass,3
53,53,2317839,5POWER,Cache,4
54,54,2317838,Grayhound,Overpass,3
55,55,2317838,TYLOO,Inferno,4
56,56,2317837,Gambit,Mirage,3
57,57,2317837,Splyce,Nuke,4
58,58,2317836,TYLOO,Inferno,3
59,59,2317836,Vega Squadron,Train,4
60,60,2317835,5POWER,Cache,3
61,61,2317835,Splyce,Train,4
62,62,2317834,Grayhound,Overpass,3
63,63,2317834,Vega Squadron,Mirage,4
64,64,2317833,Gambit,Overpass,3
65,65,2317833,5POWER,Cache,4
66,66,2317976,TeamOne,Train,3
67,67,2317976,FURIA,Cache,4
68,68,2317976,TeamOne,Mirage,5
69,69,2317976,FURIA,Cobblestone,6
70,70,2317892,Valiance,Inferno,3
71,71,2317892,AGO,Train,4
72,72,2317892,Valiance,Cache,5
73,73,2317892,AGO,Cobblestone,6
74,74,2317891,PRIDE,Train,3
75,75,2317891,Valiance,Cache,4
76,76,2317750,PRIDE,Mirage,3
77,77,2317750,AGO,Overpass,4
78,78,2317673,AGO,Train,3
79,79,2317673,Fragsters,Inferno,4
80,80,2317430,PRIDE,Train,3
81,81,2317430,North Academy,Nuke,4
82,82,2317320,PRIDE,Mirage,3
83,83,2317320,TEAM5,Train,4
84,84,2317168,Red Reserve,Overpass,3
85,85,2317168,North Academy,Inferno,4
86,86,2317167,Tricked,Cobblestone,3
87,87,2317167,Fragsters,Inferno,4
88,88,2317166,Valiance,Inferno,3
89,89,2317166,AGO,Cobblestone,4
90,90,2317860,5balls,Mirage,3
91,91,2317860,MANS NOT HOT,Cobblestone,4
92,92,2317757,MANS NOT HOT,Cache,3
93,93,2317757,TOXIC,Inferno,4
94,94,2317749,5balls,Mirage,3
95,95,2317749,Spirit,Overpass,4
96,96,2317857,Kyrgyzstan,Mirage,3
97,97,2317857,Gambit,Inferno,4
98,98,2317856,TulpaR,Mirage,3
99,99,2317856,Kyrgyzstan,Cobblestone,4
100,100,2317854,Gambit,Nuke,3
101,101,2317854,Tengri,Cache,4
102,102,2318239,PRIDE,Mirage,3
103,103,2318239,AGO,Overpass,4
104,104,2317814,VenatoreS,Cache,3
105,105,2317814,Kinguin,Cobblestone,4
106,106,2317813,PRIDE,Mirage,3
107,107,2317813,Kinguin,Cobblestone,4
108,108,2317812,VenatoreS,Cache,3
109,109,2317812,AGO,Train,4
110,110,2317821,Windigo,Cobblestone,3
111,111,2317821,XPC,Mirage,4
112,112,2317810,Bpro,Inferno,3
113,113,2317810,Windigo,Cobblestone,4
114,114,2317811,Invictus Aquilas,Cobblestone,3
115,115,2317811,XPC,Mirage,4
116,116,2317791,Eclipse,Inferno,3
117,117,2317791,ViCi,Cobblestone,4
118,118,2317790,Flash,Cache,3
119,119,2317790,TYLOO,Mirage,4
120,120,2317738,Flash,Cobblestone,3
121,121,2317738,Eclipse,Mirage,4
122,122,2317737,TYLOO,Inferno,3
123,123,2317737,ViCi,Cobblestone,4
124,124,2317635,mousesports,Cobblestone,3
125,125,2317635,Natus Vincere,Inferno,4
126,126,2317634,mousesports,Nuke,3
127,127,2317634,Gambit,Train,4
128,128,2317633,Natus Vincere,Overpass,3
