,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
0,2311540,Mirage,Outlaws,Bpro,11,16,2911,0,11th of June 2017,1
1,2311540,Nuke,Outlaws,Bpro,16,5,2911,0,11th of June 2017,2
2,2311540,Cobblestone,Outlaws,Bpro,16,3,2911,0,11th of June 2017,3
3,2311519,Mirage,TTFU,Bpro,10,16,2911,0,11th of June 2017,1
4,2311519,Inferno,TTFU,Bpro,8,16,2911,0,11th of June 2017,2
5,2311518,Cobblestone,Outlaws,Bojestvata,13,16,2911,0,11th of June 2017,1
6,2311518,Train,Outlaws,Bojestvata,16,5,2911,0,11th of June 2017,2
7,2311518,Nuke,Outlaws,Bojestvata,16,14,2911,0,11th of June 2017,3
8,2311522,Mirage,Atleterna,fightclub,16,19,2757,0,11th of June 2017,1
9,2311522,Inferno,Atleterna,fightclub,7,16,2757,0,11th of June 2017,2
10,2311521,Cache,Crowns,fightclub,9,16,2757,0,11th of June 2017,1
11,2311521,Train,Crowns,fightclub,16,6,2757,0,11th of June 2017,2
12,2311521,Cobblestone,Crowns,fightclub,11,16,2757,0,11th of June 2017,3
13,2311520,Inferno,Atleterna,#FREEIBP,16,12,2757,0,11th of June 2017,1
14,2311520,Overpass,Atleterna,#FREEIBP,16,13,2757,0,11th of June 2017,2
15,2311513,Mirage,Skjuta Hess,fightclub,16,5,2757,0,10th of June 2017,1
16,2311513,Cobblestone,Skjuta Hess,fightclub,8,16,2757,0,10th of June 2017,2
17,2311513,Cache,Skjuta Hess,fightclub,0,16,2757,0,10th of June 2017,3
18,2311512,Cache,Crowns,PopcornPlokker$,16,9,2757,0,10th of June 2017,1
19,2311512,Train,Crowns,PopcornPlokker$,16,8,2757,0,10th of June 2017,2
20,2311510,Nuke,Red Reserve,Atleterna,11,16,2757,0,10th of June 2017,1
21,2311510,Mirage,Red Reserve,Atleterna,8,16,2757,0,10th of June 2017,2
22,2311511,Cache,Refuse Academy,#FREEIBP,7,16,2757,0,10th of June 2017,1
23,2311511,Overpass,Refuse Academy,#FREEIBP,10,16,2757,0,10th of June 2017,2
24,2311502,Cache,BOOT-d[S],ViCi,11,16,2898,0,11th of June 2017,1
25,2311502,Overpass,BOOT-d[S],ViCi,16,9,2898,0,11th of June 2017,2
26,2311502,Mirage,BOOT-d[S],ViCi,13,16,2898,0,11th of June 2017,3
27,2311501,Train,BOOT-d[S],Wings.Blue,16,0,2898,0,11th of June 2017,1
28,2311501,Inferno,BOOT-d[S],Wings.Blue,16,3,2898,0,11th of June 2017,2
29,2311500,Overpass,MVP Project,ViCi,10,16,2898,0,10th of June 2017,1
30,2311500,Cobblestone,MVP Project,ViCi,12,16,2898,0,10th of June 2017,2
31,2311499,Cobblestone,ViCi,Wings.Blue,16,5,2898,0,10th of June 2017,1
32,2311499,Cache,ViCi,Wings.Blue,16,4,2898,0,10th of June 2017,2
33,2311498,Train,BOOT-d[S],MVP Project,21,25,2898,0,9th of June 2017,1
34,2311498,Inferno,BOOT-d[S],MVP Project,7,16,2898,0,9th of June 2017,2
35,2311497,Mirage,Wings.Blue,MVP Project,3,16,2898,0,9th of June 2017,1
36,2311497,Inferno,Wings.Blue,MVP Project,6,16,2898,0,9th of June 2017,2
37,2311371,Train,Tengri,Vega Squadron,8,16,2724,0,11th of June 2017,1
38,2311371,Inferno,Tengri,Vega Squadron,11,16,2724,0,11th of June 2017,2
39,2311370,Cache,pro100,Vega Squadron,19,22,2724,0,11th of June 2017,1
40,2311370,Mirage,pro100,Vega Squadron,16,14,2724,0,11th of June 2017,2
41,2311370,Nuke,pro100,Vega Squadron,11,16,2724,0,11th of June 2017,3
42,2311369,Cache,Tengri,Vega Squadron,16,19,2724,0,10th of June 2017,1
43,2311369,Overpass,Tengri,Vega Squadron,16,13,2724,0,10th of June 2017,2
44,2311369,Mirage,Tengri,Vega Squadron,16,5,2724,0,10th of June 2017,3
45,2311368,Nuke,Quantum Bellator Fire,pro100,4,16,2724,0,10th of June 2017,1
46,2311368,Cobblestone,Quantum Bellator Fire,pro100,9,16,2724,0,10th of June 2017,2
47,2311367,Cache,Vega Squadron,pro100,16,5,2724,0,10th of June 2017,1
48,2311367,Nuke,Vega Squadron,pro100,16,4,2724,0,10th of June 2017,2
49,2311366,Train,Tengri,Quantum Bellator Fire,16,8,2724,0,10th of June 2017,1
50,2311366,Mirage,Tengri,Quantum Bellator Fire,16,11,2724,0,10th of June 2017,2
51,2311361,Mirage,pro100,Spartak,13,16,2724,0,9th of June 2017,1
52,2311361,Nuke,pro100,Spartak,16,8,2724,0,9th of June 2017,2
53,2311361,Cobblestone,pro100,Spartak,16,12,2724,0,9th of June 2017,3
54,2311360,Nuke,Spirit,Spartak,19,17,2724,0,9th of June 2017,1
55,2311360,Train,Spirit,Spartak,11,16,2724,0,9th of June 2017,2
56,2311360,Inferno,Spirit,Spartak,10,16,2724,0,9th of June 2017,3
57,2311359,Mirage,Quantum Bellator Fire,pro100,16,14,2724,0,9th of June 2017,1
58,2311358,Cobblestone,Spartak,pro100,13,16,2724,0,9th of June 2017,1
59,2311357,Cobblestone,Spirit,Quantum Bellator Fire,10,16,2724,0,9th of June 2017,1
60,2311356,Inferno,Spirit Academy,Tengri,5,16,2724,0,8th of June 2017,1
61,2311356,Mirage,Spirit Academy,Tengri,16,19,2724,0,8th of June 2017,2
62,2311355,Overpass,Nemiga,Tengri,20,22,2724,0,8th of June 2017,1
63,2311355,Mirage,Nemiga,Tengri,3,16,2724,0,8th of June 2017,2
64,2311354,Nuke,Spirit Academy,Vega Squadron,4,16,2724,0,8th of June 2017,1
65,2311353,Mirage,Tengri,Vega Squadron,14,16,2724,0,8th of June 2017,1
66,2311352,Train,Nemiga,Spirit Academy,13,16,2724,0,8th of June 2017,1
67,2311444,Mirage,Immortals,Cloud9,5,16,2722,2,12th of June 2017,1
68,2311444,Inferno,Immortals,Cloud9,16,7,2722,2,12th of June 2017,2
69,2311444,Cache,Immortals,Cloud9,5,16,2722,2,12th of June 2017,3
70,2311443,Inferno,Cloud9,CLG,16,12,2722,2,11th of June 2017,1
71,2311443,Cache,Cloud9,CLG,16,8,2722,2,11th of June 2017,2
72,2311442,Train,Luminosity,CLG,13,16,2722,1,11th of June 2017,1
73,2311442,Cache,Luminosity,CLG,14,16,2722,1,11th of June 2017,2
74,2311441,Train,Cloud9,Immortals,8,16,2722,2,11th of June 2017,1
75,2311441,Cache,Cloud9,Immortals,9,16,2722,2,11th of June 2017,2
76,2311440,Overpass,Immortals,CLG,16,11,2722,2,10th of June 2017,1
77,2311440,Train,Immortals,CLG,16,12,2722,2,10th of June 2017,2
78,2311439,Mirage,Luminosity,Cloud9,9,16,2722,1,10th of June 2017,1
79,2311439,Cache,Luminosity,Cloud9,17,19,2722,1,10th of June 2017,2
80,2311438,Overpass,CLG,paiN,16,12,2722,1,10th of June 2017,1
81,2311438,Mirage,CLG,paiN,16,7,2722,1,10th of June 2017,2
82,2311437,Overpass,paiN,Misfits,16,4,2722,0,9th of June 2017,1
83,2311437,Train,paiN,Misfits,16,14,2722,0,9th of June 2017,2
84,2311436,Mirage,Cloud9,CLG,16,12,2722,2,9th of June 2017,1
85,2311432,Cache,CLG,Misfits,16,9,2722,1,9th of June 2017,1
86,2311431,Train,Cloud9,paiN,16,1,2722,1,9th of June 2017,1
87,2311435,Cobblestone,Luminosity,NRG,16,14,2722,0,9th of June 2017,1
88,2311435,Train,Luminosity,NRG,16,14,2722,0,9th of June 2017,2
89,2311434,Train,compLexity,NRG,18,22,2722,0,8th of June 2017,1
90,2311434,Inferno,compLexity,NRG,7,16,2722,0,8th of June 2017,2
91,2311433,Overpass,Immortals,Luminosity,16,5,2722,1,8th of June 2017,1
92,2311430,Cache,NRG,Luminosity,11,16,2722,0,8th of June 2017,1
93,2311429,Cache,Immortals,compLexity,16,8,2722,1,8th of June 2017,1
94,2311542,Cobblestone,Rise Nation,Ghost,16,10,2841,0,12th of June 2017,1
95,2311542,Mirage,Rise Nation,Ghost,16,11,2841,0,12th of June 2017,2
96,2311350,Cobblestone,RONIN,Ghost,3,16,2841,0,2nd of June 2017,1
97,2311350,Inferno,RONIN,Ghost,16,10,2841,0,2nd of June 2017,2
98,2311350,Mirage,RONIN,Ghost,7,16,2841,0,2nd of June 2017,3
99,2311206,Cobblestone,Ghost,Miami Flamingos,16,12,2841,0,31st of May 2017,1
100,2311206,Mirage,Ghost,Miami Flamingos,16,6,2841,0,31st of May 2017,2
101,2311126,Cache,RONIN,Rise Nation,17,19,2841,0,30th of May 2017,1
102,2311126,Mirage,RONIN,Rise Nation,14,16,2841,0,30th of May 2017,2
103,2311154,Train,Ghost,bamboozled,16,4,2841,0,26th of May 2017,1
104,2311154,Mirage,Ghost,bamboozled,16,7,2841,0,26th of May 2017,2
105,2310451,Train,Ghost,RONIN,17,19,2841,0,23rd of May 2017,1
106,2310451,Inferno,Ghost,RONIN,13,16,2841,0,23rd of May 2017,2
107,2310888,Overpass,Morior Invictus,Miami Flamingos,16,9,2841,0,18th of May 2017,1
108,2310888,Train,Morior Invictus,Miami Flamingos,7,16,2841,0,18th of May 2017,2
109,2310888,Mirage,Morior Invictus,Miami Flamingos,8,16,2841,0,18th of May 2017,3
