,team,teamcode,eventcode,placement
0,team123,6758,2915,1-2nd
1,fragsters,6855,2915,1-2nd
2,struggletony,7875,2915,3-4th
3,preanus,7986,2915,3-4th
4,zoctai,4992,2914,1-2nd
5,nordic-warthogs,7677,2914,1-2nd
6,gameagents,6652,2914,3-4th
7,lllllll,7987,2914,3-4th
8,aligon,4894,2913,1-2nd
9,rogue-academy,7691,2913,1-2nd
10,asdffuf,7988,2913,3-4th
11,dolphinriders,7989,2913,3-4th
12,outlaws,7397,2911,1st
13,bpro,6762,2911,2nd
14,ttfu,7864,2911,3-4th
15,bojestvata,7982,2911,3-4th
16,yellowteeth,7979,2910,1st
17,waterdogs,7980,2910,2nd
18,exaequo,6396,2910,3-4th
19,outplayed,7981,2910,3-4th
20,fightclub,7823,2757,1st
21,atleterna,7933,2757,2nd
22,crowns,7168,2757,3-4th
23,freeibp,7952,2757,3-4th
24,red-reserve,7613,2757,5-8th
25,skjuta-hess,7790,2757,5-8th
26,popcornplokker,7908,2757,5-8th
27,refuse-academy,7940,2757,5-8th
28,vici,7606,2898,1st
29,mvp-project,6474,2898,2nd
30,boot-ds,7567,2898,3rd
31,wingsblue,7976,2898,4th
32,vega-squadron,6094,2724,1st
33,tengri,7145,2724,2nd
34,pro100,7898,2724,3rd
35,quantum-bellator-fire,7367,2724,4th
36,spartak,7797,2724,5-6th
37,spirit-academy,7900,2724,5-6th
38,spirit,7020,2724,7-8th
39,nemiga,7969,2724,7-8th
40,cloud9,5752,2722,1st
41,immortals,7010,2722,2nd
42,clg,5974,2722,3rd
43,luminosity,6290,2722,4th
44,pain,4773,2722,5-6th
45,nrg,6673,2722,5-6th
46,complexity,5005,2722,7-8th
47,misfits,7557,2722,7-8th
48,rise-nation,7924,2841,1st
49,ghost,7801,2841,2nd
50,ronin,6707,2841,3rd
51,miami-flamingos,7531,2841,4th
52,morior-invictus,7723,2841,5-6th
53,bamboozled,7862,2841,5-6th
54,big-mistake,5087,2841,7-8th
55,doxxa,7861,2841,7-8th
56,lunatik,5700,2841,9-12th
57,glockwork,6759,2841,9-12th
58,synthetik,7099,2841,9-12th
59,hyper,7289,2841,9-12th
60,alpha-nerds,7817,2841,13-16th
61,dans-ta-yeule,7860,2841,13-16th
62,debut,7863,2841,13-16th
63,just-a-glimpse,7632,2841,13-16th
64,tyloo,4863,2860,1st
65,vici,7606,2860,2nd
66,flash,7660,2860,3-4th
67,uya,7716,2860,3-4th
68,new4,4865,2860,5-8th
69,boot,6898,2860,5-8th
70,lgd,6899,2860,5-8th
71,eclipse,7892,2860,5-8th
72,lynx,7526,2860,9-16th
73,five,6908,2860,9-16th
74,ae,7371,2860,9-16th
75,sp,7894,2860,9-16th
76,emp,7479,2860,9-16th
77,tot,7932,2860,9-16th
78,rte,7480,2860,9-16th
79,invictus,7966,2860,9-16th
80,penta,5395,2872,1st
81,big,7532,2872,2nd
82,red-reserve,7613,2872,3rd
83,ldlc,4674,2872,4th
84,pride,6896,2872,5-6th
85,outlaws,7397,2872,5-6th
86,kinguin,6134,2872,7-8th
87,singularity,6978,2872,7-8th
88,tricked,4602,2872,9-10th
89,north-academy,7713,2872,9-10th
90,cloud9,5752,2729,1st
91,sk,6137,2729,2nd
92,liquid,5973,2729,3rd
93,optic,6615,2729,4th
94,clg,5974,2729,5th
95,immortals,7010,2729,6th
96,nrg,6673,2729,7th
97,renegades,6211,2729,8th
98,luminosity,6290,2729,9th
99,ghost,7801,2729,10th
100,faze,6667,2728,1st
101,astralis,6665,2728,2nd
102,g2,5995,2728,3rd
103,fnatic,4991,2728,4th
104,nip,4411,2728,5th
105,envy,5991,2728,6th
106,mousesports,4494,2728,7th
107,godsent,6902,2728,8th
108,virtuspro,5378,2728,9th
109,dignitas,5422,2728,10th
110,outlaws,7397,2842,1st
111,singularity,6978,2842,2nd
112,epsilon,4456,2842,3rd
113,kpi,7339,2842,4th
114,chrome,7638,2842,5-6th
115,g2v,7683,2842,5-6th
116,x6tence,4468,2842,7-8th
117,nexus,7187,2842,7-8th
118,rctic,4682,2842,9-12th
119,playing-ducks,7566,2842,9-12th
120,bpro,6762,2842,9-12th
121,pompa-black,7834,2842,9-12th
122,giants,4949,2842,13-16th
123,tortues-ninja,7584,2842,13-16th
124,caz,6058,2842,13-16th
125,oserv,7687,2842,13-16th
126,spraynpray,7264,2886,1st
127,binary-dragons,6669,2886,2nd
128,tengri,7145,2886,3-4th
129,impossible,7835,2886,3-4th
130,tricksters,7556,2886,5-6th
131,kungar,7911,2886,5-6th
132,evolution,5946,2886,7-8th
133,squared,7669,2886,7-8th
134,binary-dragons,6669,2843,1-2nd
135,imperial,7701,2843,1-2nd
136,nexus,7187,2843,3rd
137,outlaws,7397,2843,4th
138,bpro,6762,2843,5-6th
139,invictus-aquilas,7870,2843,5-6th
140,resistance,7497,2843,7-8th
141,hop,7615,2843,7-8th
142,squared,7669,2843,9-10th
143,sensei,7673,2843,9-10th
144,vatos-locos,6347,2843,11-12th
145,shanghai-emperors,7869,2843,11-12th
146,ttfu,7864,2843,13th
147,netland,7437,2843,14th
148,nexus,7187,2883,1st
149,spraynpray,7264,2883,2nd
150,gameplaydna,6322,2883,3-4th
151,attackieren,7946,2883,3-4th
152,magistra,6946,2883,5-8th
153,wasd,7668,2883,5-8th
154,ajukreizi,7919,2883,5-8th
155,veneera,7947,2883,5-8th
156,extatus,6745,2835,1st
157,north-academy,7713,2835,2nd
158,alpha,6807,2835,3-4th
159,kpi,7339,2835,3-4th
160,outlaws,7397,2835,5-8th
161,binary-dragons,6669,2835,5-8th
162,singularity,6978,2835,5-8th
163,tengri,7145,2835,5-8th
164,alternate-attax,4501,2835,9-11th
165,sensei,7673,2835,9-11th
166,igamecom,7331,2835,9-11th
167,space-academy,7476,2835,12-13th
168,epg,7489,2835,12-13th
169,uya,7716,2891,1st
170,scarz-absolute,7962,2891,2nd
171,five,6908,2891,3rd
172,motv,6355,2891,4th
173,renegades,6211,2725,1st
174,tyloo,4863,2725,2nd
175,immunity,4791,2725,3rd
176,flash,7660,2725,4th
177,themongolz,6248,2725,5-6th
178,signature,6774,2725,5-6th
179,7642,7576,2725,7-8th
180,spotnet,7728,2725,7-8th
181,g2,5995,2557,1st
182,north,7533,2557,2nd
183,liquid,5973,2557,3-4th
184,sk,6137,2557,3-4th
185,mousesports,4494,2557,5-6th
186,envy,5991,2557,5-6th
187,optic,6615,2557,7-8th
188,fnatic,4991,2557,7-8th
189,natus-vincere,4608,2557,9-10th
190,immortals,7010,2557,9-10th
191,nrg,6673,2557,11-12th
192,cloud9,5752,2557,11-12th
193,resistance,7497,2881,1st
194,giant5,6099,2881,2nd
195,homesent,7963,2881,3rd
196,locastic,7964,2881,4th
197,playing-ducks,7566,2888,1-4th
198,planetkey,5195,2888,1-4th
199,esuba,5412,2888,1-4th
