,Unnamed: 0,team,teamcode,eventcode,placement
0,0,era,8608,3315,1st
1,1,third-times-a-charm,8609,3315,2nd
2,2,h00liganz,6356,3315,3-4th
3,3,hwml,8613,3315,3-4th
4,4,rival,6869,3315,5-8th
5,5,enter,7977,3315,5-8th
6,6,vikings,8253,3315,5-8th
7,7,glockoma,8545,3315,5-8th
8,8,bravado,5158,3317,1st
9,9,big-5,8111,3317,2nd
10,10,energy,5153,3317,3-4th
11,11,goliath,8193,3317,3-4th
12,12,damage-control,5154,3317,5-8th
13,13,exdee,7647,3317,5-8th
14,14,xastris,8593,3317,5-8th
15,15,spartan,8594,3317,5-8th
16,16,bpro,6762,3381,1st
17,17,without-warning,8582,3381,2nd
18,18,pixel,6737,3381,3rd
19,19,sinners,8583,3381,4th
20,20,squared,7669,3381,5-6th
21,21,invictus-aquilas,7870,3381,5-6th
22,22,gameagents,6652,3381,7-8th
23,23,kliktech,8127,3381,7-8th
24,24,ago,8068,3354,1st
25,25,pride,6896,3354,2nd
26,26,ldlc,4674,3354,3-4th
27,27,sprout,8637,3354,3-4th
28,28,valiance,8481,3354,5-6th
29,29,windigo,8513,3354,5-6th
30,30,squared,7669,3354,7-8th
31,31,envyus-academy,7856,3354,7-8th
32,32,kinguin,6134,3354,9-10th
33,33,goodjob,7820,3354,9-10th
34,34,alternate-attax,4501,3354,11-14th
35,35,epsilon,4688,3354,11-14th
36,36,epg,7489,3354,11-14th
37,37,wasd,7668,3354,11-14th
38,38,nexus,7187,3354,15-18th
39,39,spirit-academy,7900,3354,15-18th
40,40,ha-masse,7472,3354,15-18th
41,41,spirit,7020,3354,15-18th
42,42,ttfu,7864,3354,19-22nd
43,43,venatores,7253,3354,19-22nd
44,44,planetkey,5195,3354,19-22nd
45,45,singularity,6978,3354,19-22nd
46,46,epg,7489,3320,1st
47,47,alternate-attax,4501,3320,2nd
48,48,excel,6113,3320,3-4th
49,49,envyus-academy,7856,3320,3-4th
50,50,spirit-academy,7900,3320,5-8th
51,51,gameagents,6652,3320,5-8th
52,52,singularity,6978,3320,5-8th
53,53,passions,7124,3320,5-8th
54,54,sherifi,8043,3320,9-12th
55,55,dream,8339,3320,9-12th
56,56,seal,8361,3320,9-12th
57,57,team5,8392,3320,9-12th
58,58,esuba,5412,3320,13-16th
59,59,nova,7787,3320,13-16th
60,60,euronics,6343,3320,13-16th
61,61,space-jam,7017,3320,13-16th
62,62,swole-patrol,7726,3405,1-4th
63,63,blackwoodproductions,7783,3405,1-4th
64,64,bushido-boyz,7885,3405,1-4th
65,65,the-entourage,8623,3405,1-4th
66,66,hyper,7289,3405,5-8th
67,67,iceberg,8398,3405,5-8th
68,68,nemesis,8634,3405,5-8th
69,69,hooked,8635,3405,5-8th
70,70,forge,8444,3415,1st
71,71,outplayed,7981,3415,2nd
72,72,mkers,8447,3415,3rd
73,73,waterdogs,7980,3415,4th
74,74,skinlordz,7511,3414,1st
75,75,evilnine,8628,3414,2nd
76,76,godz,8629,3414,3rd
77,77,mineski,6715,3417,1st
78,78,arkangel,8633,3417,2nd
79,79,tnc,5257,3417,3-4th
80,80,imperium,7837,3417,3-4th
81,81,boot-ds,7567,3416,1st
82,82,onliners,8632,3416,2nd
83,83,operationrekt,8630,3416,3-4th
84,84,donut,8631,3416,3-4th
85,85,sk,6137,3072,1st
86,86,faze,6667,3072,2nd
87,87,fnatic,4991,3072,3-4th
88,88,misfits,7557,3072,3-4th
89,89,hellraisers,5310,3072,5-6th
90,90,optic,6615,3072,5-6th
91,91,nrg,6673,3072,7-8th
92,92,luminosity,6290,3072,7-8th
93,93,nip,4411,3072,9-10th
94,94,astralis,6665,3072,9-10th
95,95,north,7533,3072,11-12th
96,96,liquid,5973,3072,11-12th
97,97,avangar,8120,3400,1st
98,98,pro100,7898,3400,2nd
99,99,epg,7489,3400,3-4th
100,100,nemiga,7969,3400,3-4th
101,101,quantum-bellator-fire,7367,3400,5-8th
102,102,elquvet,7427,3400,5-8th
103,103,nova,7787,3400,5-8th
104,104,cispro,8604,3400,5-8th
105,105,seed,8452,3384,1st
106,106,pro100,7898,3384,2nd
107,107,goodjob,7820,3384,3rd
108,108,spraynpray,7264,3384,4th
109,109,epsilon,4688,3384,5-6th
110,110,bpro,6762,3384,5-6th
111,111,spirit,7020,3384,7-8th
112,112,epg,7489,3384,7-8th
113,113,spirit-academy,7900,3384,9-10th
114,114,havu,7865,3384,9-10th
115,115,recca,7344,3413,1st
116,116,xcn,8626,3413,2nd
117,117,boom,7733,3413,3-4th
118,118,bigetron,8627,3413,3-4th
119,119,1337huania,7552,3410,1st
120,120,wasd,7668,3410,2nd
121,121,chaos,7197,3410,3-4th
122,122,baltic-elite,8624,3410,3-4th
123,123,corvidae,6922,3217,1st
124,124,ssu,7596,3217,2nd
125,125,masterminds,7967,3217,3-4th
126,126,lucky7,8588,3217,3-4th
127,127,ground-zero,8536,3217,5-6th
128,128,paradox-supremacy,8577,3217,5-6th
129,129,dedset,8611,3217,7-8th
130,130,oracle-empyre,8612,3217,7-8th
131,131,gambit,6651,3283,1st
132,132,tyloo,4863,3283,2nd
133,133,vega-squadron,6094,3283,3-4th
134,134,grayhound,8008,3283,3-4th
135,135,splyce,6301,3283,5-6th
136,136,5power,7092,3283,5-6th
137,137,envyus-academy,7856,3201,1st
138,138,epsilon,4688,3201,2nd
139,139,reason,5208,3201,3rd
140,140,endpoint,7234,3201,4th
141,141,method,6132,3201,5th
142,142,infused,4554,3201,6th
143,143,prophecy,8032,3201,7th
144,144,excel,6113,3201,8th
145,145,teamone,6947,3411,1st
146,146,furia,8297,3411,2nd
147,147,kings,8021,3408,1st
148,148,pork,8619,3408,2nd
149,149,athletico,5680,3408,3-4th
150,150,watermelon,8621,3408,3-4th
151,151,lucky7,8588,3408,5-7th
152,152,qwerty,8620,3408,5-7th
153,153,harlem-spartans,8622,3408,5-7th
154,154,parallax,7077,3406,1st
155,155,unleashed,8615,3406,2nd
156,156,grey,8614,3406,3-4th
157,157,bowats,8616,3406,3-4th
158,158,rise-nation,7924,3322,1st
159,159,gale-force,8181,3322,2nd
160,160,soar,8384,3322,3rd
161,161,good-people,8349,3322,4th
162,162,french-canadians,7616,3322,5-6th
163,163,lfao,8378,3322,5-6th
164,164,hyper,7289,3322,7-8th
