,matchcode,team,map,priority
0,2331081,ENCE,Nuke,1
1,2331081,Astralis,Cache,2
2,2331081,Astralis,Mirage,5
3,2331081,ENCE,Dust2,6
4,2331080,MIBR,Nuke,1
5,2331080,Astralis,Cache,2
6,2331080,Astralis,Mirage,5
7,2331080,MIBR,Dust2,6
8,2331079,ENCE,Overpass,1
9,2331079,Natus Vincere,Cache,2
10,2331079,Natus Vincere,Nuke,5
11,2331079,ENCE,Inferno,6
12,2331078,NiP,Nuke,1
13,2331078,Astralis,Cache,2
14,2331078,Astralis,Train,5
15,2331078,NiP,Inferno,6
16,2331077,Renegades,Overpass,1
17,2331077,MIBR,Nuke,2
18,2331077,MIBR,Cache,5
19,2331077,Renegades,Inferno,6
20,2331076,ENCE,Cache,1
21,2331076,Liquid,Train,2
22,2331076,Liquid,Nuke,5
23,2331076,ENCE,Dust2,6
24,2331075,FaZe,Train,1
25,2331075,Natus Vincere,Cache,2
26,2331075,Natus Vincere,Nuke,5
27,2331075,FaZe,Overpass,6
28,2331074,Cloud9,Train,1
29,2331074,FaZe,Overpass,2
30,2331074,FaZe,Inferno,5
31,2331074,Cloud9,Mirage,6
32,2331073,Vitality,Train,1
33,2331073,NiP,Dust2,2
34,2331073,NiP,Inferno,5
35,2331073,Vitality,Nuke,6
36,2331072,AVANGAR,Nuke,1
37,2331072,ENCE,Cache,2
38,2331072,ENCE,Dust2,5
39,2331072,AVANGAR,Inferno,6
40,2331071,HellRaisers,Nuke,1
41,2331071,Cloud9,Dust2,2
42,2331071,Cloud9,Train,5
43,2331071,HellRaisers,Overpass,6
44,2331070,compLexity,Train,1
45,2331070,FaZe,Nuke,2
46,2331070,FaZe,Inferno,5
47,2331070,compLexity,Overpass,6
48,2331069,G2,Train,1
49,2331069,ENCE,Cache,2
50,2331069,ENCE,Inferno,5
51,2331069,G2,Overpass,6
52,2331068,NiP,Dust2,1
53,2331068,MIBR,Nuke,2
54,2331068,MIBR,Overpass,5
55,2331068,NiP,Cache,6
56,2331067,AVANGAR,Nuke,1
57,2331067,Natus Vincere,Cache,2
58,2331067,Natus Vincere,Overpass,5
59,2331067,AVANGAR,Inferno,6
60,2331066,Vitality,Train,1
61,2331066,Renegades,Overpass,2
62,2331066,Renegades,Nuke,5
63,2331066,Vitality,Mirage,6
64,2331064,NRG,Dust2,1
65,2331064,compLexity,Train,2
66,2331064,compLexity,Overpass,5
67,2331064,NRG,Mirage,6
68,2331065,Natus Vincere,Cache,1
69,2331065,Liquid,Train,2
70,2331065,Liquid,Overpass,5
71,2331065,Natus Vincere,Inferno,6
72,2331062,Renegades,Overpass,1
73,2331062,Astralis,Cache,2
74,2331062,Astralis,Train,5
75,2331062,Renegades,Dust2,6
76,2331063,BIG,Nuke,1
77,2331063,ENCE,Cache,2
78,2331063,ENCE,Inferno,5
79,2331063,BIG,Mirage,6
80,2331060,Cloud9,Dust2,1
81,2331060,Cloud9,Nuke,2
82,2331060,Vitality,Train,3
83,2331060,Vitality,Cache,4
84,2331060,Vitality,Inferno,5
85,2331060,Cloud9,Overpass,6
86,2331061,HellRaisers,Nuke,1
