,event,code,prizepool,date,location,nteams
0,esl-australia-nz-championship-season-8-qualifier-4,4385,1 spot at ESL AU&NZ Season 8,Mar 3rd 2019,Oceania (Online),2+
1,national-cybersport-league-season-3,4461,TBA,Mar 3rd 2019,"Kiev, Ukraine",2
2,esl-la-league-season-3-finals,4392,"$10,500 + 2 spots to ESL Pro League Season 9 Americas",Mar 2nd,São Paulo,4
3,iem-katowice-2019,3883,"$1,000,000",Feb 20th,"Katowice, Poland",16
4,lantrek-2019,4371,"$14,797",Mar 1st,"Tampere, Finland",8
5,intel-challenge-katowice-2019,4386,"$50,000",Feb 28th,"Katowice, Poland",8
6,aorus-league-2019-northern-cone-main-qualifier,4441,1 spot to LAN Finals,Feb 19th,South America (Online),8
7,ecs-season-7-europe-challenger-cup-open-qualifier-4,4432,2 spots in ECS S7 EU Challenger Cup,Feb 27th,Europe (Online),8+
8,aorus-league-2019-brazil-main-qualifier,4440,2 spots to LAN Finals,Feb 20th,Brazil (Online),8
9,ecs-season-7-north-america-challenger-cup-open-qualifier-4,4439,2 spots in ECS S7 NA Challenger Cup,Feb 25th,North America (Online),4+
10,united-masters-league,4243,"$50,000",Nov 19th 2018,Europe (Online),14
11,esl-pro-league-season-9-china-open-qualifier-2,4403,TBA,Feb 24th 2019,China (Online),2+
12,esl-pro-league-season-9-sea-open-qualifier-2,4400,TBA,Feb 24th 2019,Asia (Online),2+
13,esl-australia-nz-championship-season-8-qualifier-3,4384,1 spot at ESL AU&NZ Season 8,Feb 24th 2019,Oceania (Online),2+
14,ecs-season-7-europe-challenger-cup-open-qualifier-3,4431,2 spots in ECS S7 EU Challenger Cup,Feb 24th 2019,Europe (Online),8+
15,underwatch-2019,4455,"$4,500",Feb 23rd,"Boston, Massachusetts, USA",4+
16,ecs-season-7-north-america-challenger-cup-open-qualifier-3,4438,2 spots in ECS S7 NA Challenger Cup,Feb 23rd,North America (Online),4+
17,esl-pro-league-season-9-latam-south-open-qualifier,4451,2 spots to Closed Qualifier,Feb 23rd,South America (Online),4
18,esl-pro-league-season-9-china-open-qualifier-1,4402,TBA,Feb 23rd 2019,China (Online),2+
19,esl-pro-league-season-9-sea-open-qualifier-1,4399,TBA,Feb 23rd 2019,Asia (Online),2+
20,wesg-2018-china-qualifier-2,4454,1 spot at WESG 2018 Final,Feb 22nd 2019,Online,4
