,matchcode,team,map,priority
0,2331081,ENCE,Train,3
1,2331081,Astralis,Inferno,4
2,2331080,MIBR,Overpass,3
3,2331080,Astralis,Inferno,4
4,2331079,ENCE,Train,3
5,2331079,Natus Vincere,Dust2,4
6,2331078,NiP,Mirage,3
7,2331078,Astralis,Dust2,4
8,2331077,Renegades,Dust2,3
9,2331077,MIBR,Train,4
10,2331076,ENCE,Mirage,3
11,2331076,Liquid,Inferno,4
12,2331075,FaZe,Inferno,3
13,2331075,Natus Vincere,Mirage,4
14,2331074,Cloud9,Cache,3
15,2331074,FaZe,Dust2,4
16,2331073,Vitality,Cache,3
17,2331073,NiP,Overpass,4
18,2331072,AVANGAR,Mirage,3
19,2331072,ENCE,Train,4
20,2331071,HellRaisers,Inferno,3
21,2331071,Cloud9,Cache,4
22,2331070,compLexity,Cache,3
23,2331070,FaZe,Mirage,4
24,2331069,G2,Dust2,3
25,2331069,ENCE,Mirage,4
26,2331068,NiP,Train,3
27,2331068,MIBR,Inferno,4
28,2331067,AVANGAR,Dust2,3
29,2331067,Natus Vincere,Train,4
30,2331066,Vitality,Dust2,3
31,2331066,Renegades,Cache,4
32,2331064,NRG,Nuke,3
33,2331064,compLexity,Cache,4
34,2331065,Natus Vincere,Mirage,3
35,2331065,Liquid,Dust2,4
36,2331062,Renegades,Mirage,3
37,2331062,Astralis,Nuke,4
38,2331063,BIG,Dust2,3
39,2331063,ENCE,Train,4
40,2331203,AGO,Cache,3
41,2331203,Sprout,Inferno,4
42,2331200,3DMAX,Inferno,3
43,2331200,Windigo,Overpass,4
44,2331201,LDLC,Dust2,3
45,2331201,Valiance,Mirage,4
46,2331202,x6tence Galaxy,Overpass,3
47,2331202,Uruguay,Cache,4
48,2331154,3DMAX,Inferno,5
49,2331154,Vexed,Mirage,6
50,2331139,Valiance,Cache,5
51,2331139,AGO,Dust2,6
52,2331138,x6tence Galaxy,Cache,5
53,2331138,Sprout,Nuke,6
54,2330366,Red Reserve,Cache,5
55,2330366,x6tence Galaxy,Mirage,6
56,2331135,Windigo,Train,5
57,2331135,expert,Cache,6
58,2331134,ALTERNATE aTTaX,Cache,5
59,2331134,Windigo,Mirage,6
60,2331133,expert,Dust2,5
61,2331133,EURONICS,Train,6
62,2331132,Valiance,Mirage,5
63,2331132,ALTERNATE aTTaX,Cache,6
64,2331091,LDLC,Overpass,5
65,2331091,AGO,Mirage,6
66,2331090,Valiance,Mirage,5
67,2331090,Tricked,Train,6
68,2331089,Valiance,Mirage,5
69,2331089,Sprout,Dust2,6
70,2330946,Vexed,Mirage,5
71,2330946,3DMAX,Inferno,6
72,2330945,EURONICS,Dust2,5
73,2330945,Windigo,Overpass,6
74,2330944,Windigo,Overpass,5
75,2330944,LDLC,Dust2,6
76,2330943,Tricked,Mirage,5
77,2330943,EURONICS,Cache,6
78,2330729,AGO,Cache,5
79,2330729,HAVU,Dust2,6
80,2330942,Red Reserve,Dust2,5
81,2330942,LDLC,Cache,6
82,2330941,Tricked,Train,5
83,2330941,Valiance,Mirage,6
84,2330169,AGO,Overpass,5
85,2330169,3DMAX,Mirage,6
86,2330940,expert,Cache,5
87,2330940,x6tence Galaxy,Inferno,6
88,2330939,Red Reserve,Mirage,5
89,2330939,Sprout,Inferno,6
90,2330938,Vexed,Inferno,5
91,2330938,Sprout,Cache,6
92,2330937,EURONICS,Nuke,5
93,2330937,expert,Train,6
94,2330936,HAVU,Train,5
95,2330936,ALTERNATE aTTaX,Cache,6
96,2330935,Sprout,Dust2,5
97,2330935,3DMAX,Inferno,6
98,2330934,ALTERNATE aTTaX,Cache,5
99,2330934,Vexed,Inferno,6
100,2330730,x6tence Galaxy,Overpass,5
101,2330730,LDLC,Dust2,6
102,2330731,HAVU,Train,5
103,2330731,Vexed,Mirage,6
104,2330727,expert,Inferno,5
105,2330727,Red Reserve,Cache,6
106,2330726,Tricked,Mirage,5
107,2330726,Sprout,Nuke,6
108,2330725,x6tence Galaxy,Dust2,5
109,2330725,Valiance,Mirage,6
110,2330724,Sprout,Dust2,5
111,2330724,expert,Inferno,6
112,2330723,Vexed,Cache,5
113,2330723,LDLC,Inferno,6
114,2330722,x6tence Galaxy,Mirage,5
115,2330722,Tricked,Overpass,6
116,2330718,AGO,Train,5
117,2330718,Valiance,Mirage,6
118,2330717,x6tence Galaxy,Mirage,5
119,2330717,EURONICS,Dust2,6
120,2330716,HAVU,Dust2,5
121,2330716,LDLC,Cache,6
122,2330715,ALTERNATE aTTaX,Overpass,5
123,2330715,Red Reserve,Dust2,6
124,2330695,Tricked,Inferno,5
125,2330695,AGO,Mirage,6
126,2330694,3DMAX,Mirage,5
127,2330694,HAVU,Dust2,6
128,2330693,expert,Nuke,5
129,2330693,Valiance,Train,6
130,2330692,3DMAX,Mirage,5
131,2330692,Windigo,Dust2,6
132,2330543,Valiance,Train,5
133,2330543,Windigo,Dust2,6
134,2330542,AGO,Inferno,5
135,2330542,LDLC,Cache,6
136,2330541,Valiance,Inferno,5
137,2330541,3DMAX,Mirage,6
138,2330540,expert,Nuke,5
139,2330540,HAVU,Train,6
140,2330539,x6tence Galaxy,Overpass,5
141,2330539,Windigo,Cache,6
142,2330538,Vexed,Inferno,5
143,2330538,AGO,Overpass,6
144,2330535,ALTERNATE aTTaX,Inferno,5
145,2330535,Tricked,Mirage,6
146,2330534,HAVU,Dust2,5
147,2330534,Windigo,Mirage,6
148,2330533,LDLC,Inferno,5
149,2330533,x6tence Galaxy,Nuke,6
