,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
0,2331081,Train,ENCE,Astralis,11,16,3883,3,3rd of March 2019,1
1,2331081,Inferno,ENCE,Astralis,4,16,3883,3,3rd of March 2019,2
2,2331080,Overpass,MIBR,Astralis,14,16,3883,4,2nd of March 2019,1
3,2331080,Inferno,MIBR,Astralis,7,16,3883,4,2nd of March 2019,2
4,2331079,Train,Natus Vincere,ENCE,14,16,3883,3,2nd of March 2019,1
5,2331079,Dust2,Natus Vincere,ENCE,16,3,3883,3,2nd of March 2019,2
6,2331079,Mirage,Natus Vincere,ENCE,14,16,3883,3,2nd of March 2019,3
7,2331078,Mirage,Astralis,NiP,16,2,3883,3,1st of March 2019,1
8,2331078,Dust2,Astralis,NiP,16,14,3883,3,1st of March 2019,2
9,2331077,Dust2,MIBR,Renegades,16,6,3883,3,1st of March 2019,1
10,2331077,Train,MIBR,Renegades,16,12,3883,3,1st of March 2019,2
11,2331076,Mirage,Liquid,ENCE,11,16,3883,3,28th of February 2019,1
12,2331076,Inferno,Liquid,ENCE,16,19,3883,3,28th of February 2019,2
13,2331075,Inferno,Natus Vincere,FaZe,16,13,3883,4,28th of February 2019,1
14,2331075,Mirage,Natus Vincere,FaZe,16,7,3883,4,28th of February 2019,2
15,2331074,Cache,FaZe,Cloud9,16,14,3883,3,24th of February 2019,1
16,2331074,Dust2,FaZe,Cloud9,16,9,3883,3,24th of February 2019,2
17,2331073,Cache,NiP,Vitality,16,7,3883,2,24th of February 2019,1
18,2331073,Overpass,NiP,Vitality,8,16,3883,2,24th of February 2019,2
19,2331073,Mirage,NiP,Vitality,16,7,3883,2,24th of February 2019,3
20,2331072,Mirage,ENCE,AVANGAR,16,12,3883,2,24th of February 2019,1
21,2331072,Train,ENCE,AVANGAR,16,7,3883,2,24th of February 2019,2
22,2331071,Inferno,Cloud9,HellRaisers,16,8,3883,1,23rd of February 2019,1
23,2331071,Cache,Cloud9,HellRaisers,16,12,3883,1,23rd of February 2019,2
24,2331070,Cache,FaZe,compLexity,8,16,3883,1,23rd of February 2019,1
25,2331070,Mirage,FaZe,compLexity,16,11,3883,1,23rd of February 2019,2
26,2331070,Dust2,FaZe,compLexity,16,14,3883,1,23rd of February 2019,3
27,2331069,Dust2,ENCE,G2,19,17,3883,2,23rd of February 2019,1
28,2331069,Mirage,ENCE,G2,16,10,3883,2,23rd of February 2019,2
29,2331068,Train,MIBR,NiP,16,6,3883,2,22nd of February 2019,1
30,2331068,Inferno,MIBR,NiP,16,14,3883,2,22nd of February 2019,2
31,2331067,Dust2,Natus Vincere,AVANGAR,16,6,3883,2,22nd of February 2019,1
32,2331067,Train,Natus Vincere,AVANGAR,16,11,3883,2,22nd of February 2019,2
33,2331066,Dust2,Renegades,Vitality,16,5,3883,2,22nd of February 2019,1
34,2331066,Cache,Renegades,Vitality,11,16,3883,2,22nd of February 2019,2
35,2331066,Inferno,Renegades,Vitality,16,12,3883,2,22nd of February 2019,3
36,2331064,Nuke,NRG,compLexity,19,22,3883,1,21st of February 2019,1
37,2331064,Cache,NRG,compLexity,16,19,3883,1,21st of February 2019,2
38,2331065,Mirage,Liquid,Natus Vincere,16,14,3883,5,21st of February 2019,1
39,2331065,Dust2,Liquid,Natus Vincere,16,9,3883,5,21st of February 2019,2
40,2331062,Mirage,Astralis,Renegades,17,19,3883,3,21st of February 2019,1
41,2331062,Nuke,Astralis,Renegades,16,9,3883,3,21st of February 2019,2
42,2331062,Inferno,Astralis,Renegades,16,2,3883,3,21st of February 2019,3
43,2331063,Dust2,ENCE,BIG,5,16,3883,2,21st of February 2019,1
44,2331063,Train,ENCE,BIG,16,14,3883,2,21st of February 2019,2
45,2331063,Overpass,ENCE,BIG,16,10,3883,2,21st of February 2019,3
46,2331060,Mirage,Vitality,Cloud9,16,14,3883,2,21st of February 2019,1
47,2331061,Overpass,NiP,HellRaisers,16,5,3883,1,21st of February 2019,1
48,2331059,Mirage,FaZe,AVANGAR,13,16,3883,2,21st of February 2019,1
49,2331058,Inferno,MIBR,G2,16,12,3883,2,21st of February 2019,1
50,2331056,Overpass,Liquid,NiP,16,13,3883,3,21st of February 2019,1
51,2331054,Mirage,Natus Vincere,Vitality,25,22,3883,2,20th of February 2019,1
52,2331057,Train,Astralis,Cloud9,16,0,3883,3,20th of February 2019,1
53,2331055,Inferno,FaZe,Renegades,14,16,3883,3,20th of February 2019,1
54,2331052,Overpass,NRG,AVANGAR,13,16,3883,2,20th of February 2019,1
55,2331053,Mirage,MIBR,compLexity,16,9,3883,1,20th of February 2019,1
56,2331050,Dust2,ENCE,HellRaisers,12,16,3883,1,20th of February 2019,1
57,2331051,Mirage,BIG,G2,13,16,3883,2,20th of February 2019,1
58,2331048,Inferno,MIBR,Cloud9,3,16,3883,2,20th of February 2019,1
59,2331049,Nuke,Astralis,compLexity,16,6,3883,1,20th of February 2019,1
60,2331046,Nuke,NRG,NiP,14,16,3883,3,20th of February 2019,1
61,2331047,Overpass,Liquid,AVANGAR,16,12,3883,2,20th of February 2019,1
62,2331044,Inferno,Natus Vincere,G2,16,7,3883,2,20th of February 2019,1
63,2331045,Train,FaZe,HellRaisers,16,4,3883,1,20th of February 2019,1
64,2331042,Inferno,ENCE,Renegades,13,16,3883,3,20th of February 2019,1
65,2331043,Mirage,BIG,Vitality,11,16,3883,2,20th of February 2019,1
66,2331335,Inferno,Tricked,Heroic,16,11,4432,0,28th of February 2019,1
67,2331335,Overpass,Tricked,Heroic,6,16,4432,0,28th of February 2019,2
68,2331335,Nuke,Tricked,Heroic,5,16,4432,0,28th of February 2019,3
69,2331334,Overpass,forZe,Chaos,10,16,4432,0,28th of February 2019,1
70,2331334,Inferno,forZe,Chaos,5,16,4432,0,28th of February 2019,2
71,2331323,Overpass,NoChance,Heroic,5,16,4432,0,27th of February 2019,1
72,2331323,Mirage,NoChance,Heroic,16,10,4432,0,27th of February 2019,2
73,2331323,Inferno,NoChance,Heroic,13,16,4432,0,27th of February 2019,3
74,2331320,Train,forZe,devils.one,14,16,4432,0,27th of February 2019,1
75,2331320,Mirage,forZe,devils.one,16,14,4432,0,27th of February 2019,2
76,2331320,Dust2,forZe,devils.one,16,3,4432,0,27th of February 2019,3
77,2331321,Overpass,Brutalis,Chaos,3,16,4432,0,27th of February 2019,1
78,2331321,Mirage,Brutalis,Chaos,13,16,4432,0,27th of February 2019,2
79,2331322,Train,g4m3rZ,Tricked,6,16,4432,0,27th of February 2019,1
80,2331322,Mirage,g4m3rZ,Tricked,2,16,4432,0,27th of February 2019,2
81,2331203,Cache,Sprout,AGO,11,16,4243,0,26th of February 2019,1
